label_id,Name,AP25,AR25,AP50,AR50,AP75,AR75,S-AP25,S-AR25,S-AP50,S-AR50,S-AP75,S-AR75
0,background,,0,0,0,0,0,0,0,0,0,0,0
1,person,,0,0,0,0,0,0,0,0,0,0,0
2,trash_bin,,0,0,0,0,0,0,0,0,0,0,0
3,chair,,0,0,0,0,0,0,0,0,0,0,0
4,pallet_box,,0,0,0,0,0,0,0,0,0,0,0
5,table,,0,0,0,0,0,0,0,0,0,0,0
6,trash_can,,0,0,0,0,0,0,0,0,0,0,0
7,cart,,0,0,0,0,0,0,0,0,0,0,0
8,pallet_jack,,0,0,0,0,0,0,0,0,0,0,0
9,youbot,,0,0,0,0,0,0,0,0,0,0,0
10,rbkairos,,0,0,0,0,0,0,0,0,0,0,0
11,p3dx,,0,0,0,0,0,0,0,0,0,0,0
12,robotino,,0,0,0,0,0,0,0,0,0,0,0
13,p3at,,0,0,0,0,0,0,0,0,0,0,0
14,lift,,0,0,0,0,0,0,0,0,0,0,0
15,TOTAL,,0,0,0,0,0,0,0,0,0,0,0
