Name,type,radius,mode,has_arm,n_uses,class_id
rbkairos_migration_sensor_config_1,r,1.30,1,1,0,10
rbkairos_migration_sensor_config_2,r,1.30,1,1,0,10
pioneer3dx_migration_sensor_config_1,r,0.5,0,0,0,10
pioneer3at,r,0.5,0,0,0,10
Mecanum_lift,r,1.40,1,0,0,10
youbot,r,1.00,1,2,0,10
robotino,r,0.30,0,0,0,10
AdjTable,o,1.00,0,0,0,30
cart_model2,o,0.80,0,0,0,30
OfficeChairBlue,o,0.50,0,0,0,30
OfficeChairGrey,o,0.50,0,0,0,30
pallet_box_mobile,o,0.80,0,0,0,30
aws_robomaker_warehouse_PalletJackB_01,o,0.80,0,0,0,30
Reflective_table,o,1.60,0,0,0,30
TrashBin,o,1.00,0,0,0,30
aws_robomaker_warehouse_TrashCanC_01,o,0.50,0,0,0,30
DoctorFemaleWalk,a,0.85,0,0,0,20
FemaleVisitorWalk,a,0.85,0,0,0,20
NurseFemaleWalk,a,0.85,0,0,0,20
OpScrubsWalk,a,0.85,0,0,0,20
MaleVisitor,a,0.85,0,0,0,20
PatientRollingWalker,a,1.0,0,0,0,20
PatientWalkingCane,a,0.85,0,0,0,20
MaleVisitorPhone,a,0.85,0,0,0,20
VisitorKidWalk,a,0.85,0,0,0,20
