Name,type,radius,mode,has_arm,n_uses,class_id,Intersection,Union
rbkairos_migration_sensor_config_1,r,1.3,1,1,0,10,107,458
rbkairos_migration_sensor_config_2,r,1.3,1,1,0,10,105,453
pioneer3dx_migration_sensor_config_1,r,0.5,0,0,0,10,23,82
pioneer3at,r,0.5,0,0,0,10,25,91
Mecanum_lift,r,1.4,1,0,0,10,437,985
youbot,r,1,1,2,0,10,25,76
robotino,r,0.3,0,0,0,10,12,43
AdjTable,o,1,0,0,0,30,317,604
cart_model2,o,0.8,0,0,0,30,139,317
OfficeChairBlue,o,0.5,0,0,0,30,56,159
OfficeChairGrey,o,0.5,0,0,0,30,59,161
pallet_box_mobile,o,0.8,0,0,0,30,160,429
aws_robomaker_warehouse_PalletJackB_01,o,0.8,0,0,0,30,52,154
Reflective_table,o,1.6,0,0,0,30,-----,-------
TrashBin,o,1,0,0,0,30,15,40
aws_robomaker_warehouse_TrashCanC_01,o,0.5,0,0,0,30,318,614
DoctorFemaleWalk,a,0.85,0,0,0,20,31,115
FemaleVisitorWalk,a,0.85,0,0,0,20,33,117
NurseFemaleWalk,a,0.85,0,0,0,20,29,105
OpScrubsWalk,a,0.85,0,0,0,20,30,109
MaleVisitor,a,0.85,0,0,0,20,33,120
PatientRollingWalker,a,1,0,0,0,20,,
PatientWalkingCane,a,0.85,0,0,0,20,35,130
MaleVisitorPhone,a,0.85,0,0,0,20,32,122
VisitorKidWalk,a,0.85,0,0,0,20,28,102
,,,,,,,2101,5586
